model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2016,8497,Manual,52821,Diesel,0,74.3,1.5
 Focus,2016,8470,Manual,89827,Diesel,0,74.3,1.5
 Fiesta,2017,9640,Manual,16697,Diesel,0,78.5,1.5
 Fiesta,2014,7340,Manual,30000,Petrol,0,65.7,1
 Fiesta,2014,6940,Manual,32000,Petrol,0,65.7,1
 Focus,2013,5749,Manual,69000,Petrol,30,56.5,1
 Focus,2017,11333,Automatic,30452,Petrol,125,51.4,1
 Fiesta,2016,8795,Manual,27705,Petrol,0,65.7,1
 Fiesta,2008,3995,Manual,76517,Diesel,150,47.9,1.6
 Fiesta,2015,8288,Manual,14653,Petrol,0,65.7,1
 Fiesta,2018,11997,Manual,10230,Petrol,145,58.9,1
 EcoSport,2017,8697,Manual,33866,Petrol,125,52.3,1
 Fiesta,2018,10497,Manual,28247,Petrol,145,62.8,1
 Focus,2016,9797,Manual,25286,Diesel,0,74.3,1.5
 Fiesta,2014,6988,Manual,53987,Petrol,0,65.7,1
 EcoSport,2016,8688,Manual,17543,Petrol,160,44.8,1.5
 Focus,2017,10990,Manual,37287,Diesel,150,74.3,1.5
 Focus,2018,11970,Manual,37349,Diesel,150,74.3,1.5
 Focus,2019,15970,Automatic,404,Petrol,145,47.9,1.5
 Fiesta,2017,9797,Manual,24138,Petrol,145,62.8,1
 Focus,2017,11797,Manual,12255,Petrol,20,60.1,1
 Focus,2016,7793,Manual,100000,Diesel,20,70.6,2
 Fiesta,2015,9495,Manual,50460,Petrol,150,47.9,1.6
 Focus,2018,18490,Automatic,19398,Diesel,150,61.4,2
 Focus,2013,10899,Manual,55865,Petrol,235,39.2,2
 Fiesta,2011,3249,Manual,92737,Diesel,20,68.9,1.4
 Fiesta,2014,6949,Manual,41076,Petrol,0,65.7,1
 Fiesta,2017,7393,Manual,102000,Petrol,150,65.7,1
 Focus,2016,7793,Manual,106000,Diesel,20,70.6,2
 Fiesta,2007,1295,Manual,108475,Petrol,160,45.6,1.4
 Fiesta,2008,1495,Manual,118000,Diesel,30,62.8,1.4
 EcoSport,2018,15900,Automatic,5603,Petrol,145,48.7,1
 Fiesta,2014,6450,Manual,54486,Petrol,0,65.7,1
 Focus,2019,15500,Manual,3914,Petrol,145,60.1,1
 Focus,2011,4899,Manual,77543,Diesel,20,67.3,1.6
 Fiesta,2019,11990,Manual,12950,Diesel,150,58.9,1.5
 Focus,2018,12539,Automatic,14952,Petrol,145,51.4,1
 Fiesta,2017,10069,Manual,17613,Petrol,145,62.8,1
 Fiesta,2017,9739,Manual,23500,Petrol,20,62.8,1
 Focus,2018,12089,Manual,28568,Diesel,145,74.3,1.5
 Fiesta,2016,10399,Manual,13475,Diesel,0,78.5,1.5
 Fiesta,2016,8240,Manual,25388,Diesel,0,78.5,1.5
 Focus,2016,10795,Manual,16300,Petrol,20,60.1,1
 Focus,2015,5492,Manual,114000,Diesel,0,74.3,1.5
 Fiesta,2016,7548,Manual,17079,Petrol,125,54.3,1.2
 Fiesta,2014,7299,Manual,31876,Petrol,0,65.7,1
 Fiesta,2015,7499,Manual,58592,Diesel,0,78.5,1.5
 Fiesta,2017,11799,Manual,26570,Petrol,145,47.9,1.6
 Focus,2018,15999,Manual,7873,Diesel,145,80.7,1.5
 Focus,2016,8999,Manual,65920,Diesel,0,74.3,1.5
 Fiesta,2014,8649,Manual,45379,Petrol,145,47.9,1.6
 Focus,2017,11599,Automatic,22436,Petrol,145,51.4,1
 Focus,2019,18999,Automatic,4146,Petrol,145,47.9,1.5
 Focus,2016,9499,Manual,62664,Diesel,0,74.3,1.5
 Fiesta,2015,9999,Manual,29469,Petrol,145,47.9,1.6
 Focus,2015,13084,Manual,40807,Petrol,200,41.5,2
 Fiesta,2012,4852,Manual,61350,Diesel,0,68.9,1.6
 Fiesta,2016,9907,Manual,19519,Petrol,0,65.7,1
 Fiesta,2016,7935,Manual,45018,Petrol,0,65.7,1
 Fiesta,2018,11913,Manual,18639,Petrol,145,62.8,1
 Fiesta,2013,6913,Manual,41148,Petrol,0,65.7,1
 Focus,2016,13815,Manual,48628,Diesel,20,67.3,2
 Fiesta,2017,10999,Manual,16613,Petrol,145,62.8,1
 Focus,2015,12787,Manual,39772,Diesel,20,67.3,2
 Fiesta,2016,8699,Manual,7973,Petrol,0,65.7,1
 Fiesta,2016,7147,Manual,32780,Petrol,0,65.7,1
 Fiesta,2014,6934,Manual,42020,Petrol,0,65.7,1
 Fiesta,2016,9999,Manual,14063,Petrol,0,65.7,1
 Fiesta,2013,6540,Manual,27550,Petrol,30,54.3,1.2
 Fiesta,2016,8244,Manual,19453,Diesel,0,78.5,1.5
 Focus,2016,9545,Automatic,33190,Diesel,20,67.3,1.5
 Focus,2016,22499,Manual,21000,Petrol,235,36.7,2.3
 Focus,2017,17098,Manual,22431,Diesel,145,67.3,2
 Focus,2016,9491,Manual,30380,Diesel,0,74.3,1.5
 EcoSport,2016,8199,Manual,33196,Petrol,160,44.8,1.5
 Fiesta,2014,5899,Manual,46314,Petrol,30,54.3,1.2
 Fiesta,2014,7132,Manual,29639,Petrol,30,54.3,1.2
 Fiesta,2017,10449,Manual,17468,Diesel,0,78.5,1.5
 Focus,2017,12499,Manual,52492,Petrol,145,50.4,1.5
 Fiesta,2016,9299,Manual,18328,Diesel,0,88.3,1.5
 Fiesta,2016,8105,Manual,32268,Petrol,0,65.7,1
 Fiesta,2017,7763,Manual,29435,Petrol,145,54.3,1.2
 Focus,2014,11318,Manual,40402,Petrol,235,39.2,2
 Fiesta,2014,6790,Manual,60918,Petrol,0,65.7,1
 Focus,2019,19000,Automatic,5310,Petrol,145,46.3,1.5
 Fiesta,2016,9995,Manual,22607,Petrol,0,65.7,1
 Fiesta,2014,9293,Manual,33872,Petrol,150,47.9,1.6
 Fiesta,2012,4431,Manual,41485,Diesel,0,76.4,1.6
 Fiesta,2018,10999,Manual,31620,Diesel,145,58.9,1.5
 Focus,2018,13449,Manual,15250,Petrol,145,57.7,1
 Focus,2017,18199,Manual,13000,Petrol,145,41.5,2
 Focus,2017,11999,Manual,26973,Petrol,145,57.7,1
 Focus,2019,18700,Automatic,3095,Diesel,145,64.2,2
 Fiesta,2016,7825,Manual,22502,Petrol,0,65.7,1
 Focus,2019,15510,Manual,1786,Petrol,145,58.9,1
 Focus,2017,12012,Manual,20621,Petrol,145,57.7,1
 EcoSport,2017,9893,Manual,39888,Petrol,125,52.3,1
 Fiesta,2019,14652,Manual,20059,Petrol,145,40.3,1.5
 Fiesta,2015,7511,Manual,46243,Diesel,0,78.5,1.5
 Focus,2019,17999,Automatic,3521,Diesel,145,64.2,2
 Fiesta,2016,7891,Manual,15543,Petrol,125,54.3,1.2
 Fiesta,2016,8344,Manual,19648,Petrol,0,65.7,1
 Focus,2015,9610,Manual,50332,Petrol,125,51.4,1.5
 Fiesta,2014,7731,Manual,26822,Petrol,0,65.7,1
 Focus,2015,10295,Manual,23742,Diesel,0,74.3,1.5
 Fiesta,2018,10999,Manual,30295,Petrol,145,65.7,1
 Focus,2017,12295,Manual,23016,Petrol,145,51.4,1.5
 Focus,2017,10999,Manual,13671,Petrol,145,60.1,1
 Focus,2017,12120,Manual,16853,Petrol,145,57.7,1
 Focus,2018,12499,Manual,17330,Diesel,145,74.3,1.5
 Focus,2015,7899,Manual,60482,Diesel,0,74.3,1.5
 Focus,2017,11999,Manual,20310,Diesel,145,74.3,1.5
 Focus,2016,15749,Manual,19664,Petrol,200,41.5,2
 Focus,2019,17699,Automatic,3252,Diesel,145,64.2,2
 Fiesta,2019,16399,Manual,6937,Petrol,145,40.3,1.5
 Fiesta,2017,9360,Manual,25438,Petrol,0,65.7,1
 Focus,2017,11500,Manual,2481,Petrol,145,60.1,1
 Focus,2018,12204,Manual,22688,Petrol,145,57.7,1
 Focus,2017,11389,Manual,36608,Diesel,145,74.3,1.5
 Focus,2016,9499,Manual,31309,Petrol,20,60.1,1
 Focus,2019,19500,Automatic,1520,Diesel,145,64.2,2
 Focus,2017,9995,Manual,34040,Diesel,0,74.3,1.5
 Fiesta,2013,5448,Manual,66471,Petrol,30,54.3,1.2
 Fiesta,2017,9499,Manual,17378,Petrol,145,65.7,1
 Fiesta,2014,8299,Manual,60002,Petrol,145,47.9,1.6
 Focus,2016,8899,Manual,49470,Diesel,0,74.3,1.5
 Fiesta,2016,11127,Manual,22292,Petrol,145,47.9,1.6
 Focus,2018,13799,Manual,14082,Petrol,145,57.7,1
 Focus,2016,10185,Automatic,53717,Diesel,30,64.2,2
 Focus,2017,16051,Manual,11035,Petrol,145,41.5,2
 Focus,2016,10210,Manual,21018,Diesel,0,74.3,1.5
 Focus,2012,5299,Manual,69000,Petrol,145,47.9,1.6
 Focus,2012,5499,Manual,59000,Petrol,145,47.9,1.6
 Focus,2012,3899,Manual,126000,Diesel,125,56.5,2
 Fiesta,2015,7699,Manual,34263,Diesel,0,88.3,1.5
 Fiesta,2017,11128,Manual,25595,Petrol,145,47.9,1.6
 Fiesta,2018,10799,Manual,30555,Diesel,145,58.9,1.5
 Fiesta,2016,8825,Manual,21297,Petrol,20,62.8,1
 Fiesta,2016,7175,Manual,40003,Petrol,20,62.8,1
 Fiesta,2016,6800,Manual,22421,Diesel,0,78.5,1.5
 Focus,2019,18498,Manual,5532,Petrol,145,48.7,1
 Focus,2015,6499,Manual,71500,Petrol,20,61.4,1
 Focus,2019,17999,Automatic,95,Petrol,145,48.7,1
 EcoSport,2018,13999,Manual,16908,Petrol,150,54.3,1
 Fiesta,2017,10499,Manual,25000,Petrol,150,65.7,1
 Focus,2019,15999,Manual,15000,Petrol,145,60.1,1
 Focus,2019,16799,Manual,4660,Petrol,145,60.1,1
 Fiesta,2015,6999,Manual,34772,Petrol,125,54.3,1.2
 Fiesta,2017,10999,Manual,8146,Petrol,145,65.7,1
 Focus,2019,15999,Manual,8340,Petrol,145,60.1,1
 Focus,2019,14999,Manual,6177,Petrol,145,58.9,1
 Focus,2019,16998,Manual,4152,Petrol,145,60.1,1
 Focus,2019,14499,Manual,10050,Petrol,145,60.1,1
 Focus,2019,14998,Manual,10464,Petrol,145,58.9,1
 Fiesta,2017,11999,Automatic,20007,Petrol,0,57.7,1
 Focus,2020,28998,Manual,2985,Petrol,145,34.5,2.3
 Fiesta,2017,9999,Manual,18916,Petrol,145,65.7,1
 Fiesta,2017,10499,Manual,31803,Petrol,145,65.7,1
 Fiesta,2016,7999,Manual,30900,Petrol,0,65.7,1
 Fiesta,2019,13399,Manual,9829,Diesel,150,58.9,1.5
 Fiesta,2016,9699,Manual,17330,Petrol,0,65.7,1
 Focus,2019,17499,Automatic,5700,Diesel,145,50.4,1.5
 Focus,2019,18200,Manual,804,Petrol,145,48.7,1
 Fiesta,2016,10414,Manual,23998,Petrol,20,62.8,1
 Focus,2017,12999,Automatic,17303,Petrol,125,51.4,1
 Focus,2018,18681,Manual,17515,Petrol,145,41.5,2
 Focus,2017,13249,Automatic,8727,Petrol,125,51.4,1
 EcoSport,2018,12999,Manual,15608,Petrol,150,54.3,1
 Fiesta,2017,8999,Manual,29127,Petrol,150,65.7,1
 Fiesta,2018,9999,Manual,12000,Petrol,150,64.2,1.1
 Fiesta,2013,6999,Automatic,62000,Petrol,0,57.7,1
 Fiesta,2014,5999,Manual,61686,Petrol,0,65.7,1
 Fiesta,2017,8499,Manual,12412,Petrol,145,65.7,1
 EcoSport,2017,9999,Manual,13759,Petrol,145,52.3,1
 Fiesta,2017,10999,Manual,34844,Petrol,145,47.9,1.6
 Focus,2015,9933,Automatic,16186,Petrol,165,44.8,1.6
 Focus,2011,3999,Manual,127544,Petrol,150,47.9,1.6
 Fiesta,2017,8444,Manual,42787,Petrol,150,65.7,1
 Focus,2017,11211,Manual,22766,Petrol,20,60.1,1
 Focus,2017,10483,Manual,25000,Diesel,150,74.3,1.5
 Focus,2017,10999,Automatic,45709,Petrol,150,46.3,1.5
 Focus,2019,17999,Manual,12014,Petrol,150,60.1,1
 Fiesta,2011,5999,Manual,18233,Petrol,200,42.8,1.2
 Fiesta,2017,7999,Manual,28907,Petrol,125,54.3,1.2
 Focus,2015,13583,Manual,21718,Diesel,20,67.3,2
 Focus,2018,11499,Manual,21023,Petrol,145,60.1,1
 EcoSport,2019,15999,Automatic,999,Petrol,145,45.6,1
 Fiesta,2012,4699,Manual,39620,Petrol,125,50.4,1.2
 EcoSport,2019,16999,Manual,10678,Petrol,150,52.3,1
 Fiesta,2019,14299,Manual,2698,Petrol,150,58.9,1
 EcoSport,2019,16499,Automatic,3205,Petrol,145,45.6,1
 Fiesta,2015,9299,Automatic,20966,Petrol,0,57.7,1
 EcoSport,2020,17499,Manual,15,Petrol,150,53.3,1
 Fiesta,2019,14299,Manual,4216,Petrol,150,58.9,1
 Fiesta,2019,14499,Manual,9033,Petrol,150,55.4,1
 Focus,2019,20499,Manual,3572,Diesel,145,70.6,2
 Focus,2014,5299,Manual,78767,Petrol,150,47.9,1.6
 Focus,2017,9499,Manual,30825,Petrol,150,61.4,1
 Focus,2019,16498,Manual,5826,Petrol,145,60.1,1
 Focus,2019,17499,Manual,8140,Petrol,150,60.1,1
 Focus,2017,10999,Manual,42632,Diesel,150,74.3,1.5
 Focus,2016,7999,Manual,51976,Petrol,20,61.4,1
 Focus,2019,15999,Manual,8706,Diesel,150,80.7,1.5
 Focus,2010,3699,Manual,60466,Diesel,160,51.4,2
 EcoSport,2015,7599,Manual,31141,Petrol,125,52.3,1
 Focus,2015,6395,Manual,89770,Diesel,20,67.3,1.6
 EcoSport,2017,9495,Manual,29000,Diesel,150,44.8,1.5
 Focus,2017,11299,Manual,23624,Diesel,0,74.3,1.5
 Fiesta,2019,14999,Manual,9772,Petrol,145,58.9,1
 EcoSport,2016,10499,Automatic,26759,Petrol,160,44.8,1.5
 Fiesta,2019,14499,Manual,9023,Petrol,145,60.1,1
 Focus,2018,11999,Manual,26898,Petrol,145,57.7,1
 EcoSport,2017,9999,Manual,17453,Petrol,125,53.3,1
 Focus,2017,8999,Manual,33460,Petrol,20,60.1,1
 Fiesta,2017,9999,Automatic,19249,Petrol,145,47.9,1.6
 Fiesta,2019,15499,Manual,3765,Petrol,145,55.4,1
 Fiesta,2018,14299,Manual,9804,Petrol,145,65.7,1
 Fiesta,2016,9299,Manual,16218,Diesel,0,88.3,1.5
 Fiesta,2019,14499,Manual,4266,Petrol,145,58.9,1
 Fiesta,2017,10499,Manual,13625,Petrol,0,65.7,1
 Focus,2012,4699,Manual,67226,Petrol,30,56.5,1
 Focus,2019,15124,Manual,17354,Diesel,145,74.3,1.5
 Fiesta,2018,12495,Manual,18894,Petrol,145,62.8,1
 Fiesta,2017,8995,Manual,13759,Petrol,145,54.3,1.2
 Focus,2019,23999,Manual,5834,Diesel,145,50.4,2
 Fiesta,2016,10999,Manual,11264,Petrol,20,62.8,1
 Focus,2019,17998,Manual,10222,Diesel,145,74.3,1.5
 Focus,2019,18699,Automatic,4267,Petrol,145,51.4,1
 EcoSport,2019,16499,Automatic,4340,Petrol,145,45.6,1
 EcoSport,2019,14999,Manual,13994,Petrol,145,53.3,1
 Fiesta,2015,10299,Manual,8161,Petrol,0,65.7,1
 Fiesta,2013,6500,Manual,43181,Petrol,0,65.7,1
 Focus,2016,8500,Manual,37695,Diesel,0,74.3,1.5
 Fiesta,2013,5799,Manual,45787,Petrol,30,54.3,1.2
 Fiesta,2015,8299,Manual,45500,Diesel,0,78.5,1.5
 Focus,2015,10000,Manual,19498,Diesel,0,74.3,1.5
 Fiesta,2014,8000,Manual,63958,Petrol,145,47.9,1.6
 Fiesta,2015,6495,Manual,41896,Petrol,125,54.3,1.2
 Fiesta,2015,7995,Automatic,26220,Petrol,0,57.7,1
 Focus,2017,8211,Manual,46282,Petrol,20,61.4,1
 Fiesta,2015,8999,Manual,9467,Petrol,0,65.7,1
 Focus,2017,10587,Manual,50526,Diesel,0,74.3,1.5
 Fiesta,2014,5999,Manual,42012,Petrol,0,65.7,1
 Focus,2012,4499,Manual,72279,Petrol,145,47.9,1.6
 Fiesta,2019,14598,Manual,10555,Petrol,145,55.4,1
 Fiesta,2019,15999,Automatic,8910,Petrol,145,48.7,1
 Focus,2015,13499,Manual,30555,Diesel,20,67.3,2
 Fiesta,2014,8399,Manual,65929,Petrol,145,47.9,1.6
 Fiesta,2015,8749,Manual,56109,Petrol,145,47.9,1.6
 Focus,2018,14199,Manual,13883,Petrol,145,58.9,1
 Fiesta,2014,6561,Manual,39381,Petrol,0,65.7,1
 Fiesta,2017,9078,Automatic,16813,Petrol,0,57.7,1
 Fiesta,2012,4490,Manual,52762,Petrol,150,48.7,1.4
 Fiesta,2016,6490,Manual,64384,Diesel,0,78.5,1.5
 Fiesta,2017,12495,Automatic,8629,Petrol,145,54.3,1
 Fiesta,2017,10600,Manual,29358,Petrol,0,65.7,1
 Focus,2019,15699,Manual,9004,Petrol,145,60.1,1
 Focus,2019,15999,Manual,4857,Petrol,145,60.1,1
 EcoSport,2019,17999,Manual,2000,Petrol,145,51.4,1
 EcoSport,2017,9599,Manual,23319,Diesel,30,64.2,1.5
 Fiesta,2017,8000,Manual,66210,Diesel,145,88.3,1.5
 Fiesta,2015,6000,Manual,49450,Diesel,0,76.4,1.5
 Focus,2015,7000,Manual,76890,Diesel,0,74.3,1.5
 Focus,2013,4500,Manual,97930,Petrol,145,47.9,1.6
 EcoSport,2016,9600,Manual,16505,Petrol,125,53.3,1
 Focus,2014,14800,Manual,35712,Petrol,235,39.2,2
 Fiesta,2017,10999,Automatic,13660,Petrol,145,47.9,1.6
 Focus,2016,8999,Manual,18086,Petrol,20,60.1,1
 Focus,2019,16300,Manual,15825,Petrol,150,60.1,1
 Fiesta,2016,7695,Manual,32290,Petrol,0,65.7,1
 Fiesta,2014,6000,Manual,31124,Petrol,30,54.3,1.2
 Fiesta,2017,10299,Manual,17852,Petrol,145,62.8,1
 Focus,2016,6299,Manual,90378,Diesel,0,74.3,1.5
 Fiesta,2015,5500,Manual,67375,Diesel,0,78.5,1.5
 Fiesta,2013,5299,Manual,64231,Petrol,0,65.7,1
 EcoSport,2016,8700,Manual,42026,Petrol,125,53.3,1
 EcoSport,2018,15500,Manual,14766,Diesel,150,64.2,1.5
 Focus,2017,11768,Manual,15375,Petrol,145,57.7,1
 Focus,2017,11799,Manual,28333,Petrol,145,60.1,1
 Focus,2017,16499,Manual,32253,Diesel,145,67.3,2
 Fiesta,2015,7999,Manual,15107,Petrol,0,65.7,1
 Focus,2018,13000,Manual,10834,Petrol,145,57.7,1
 Fiesta,2013,7500,Manual,29845,Petrol,0,65.7,1
 Fiesta,2016,8200,Manual,20387,Petrol,0,65.7,1
 Fiesta,2015,7500,Manual,31994,Diesel,0,76.4,1.5
 Fiesta,2017,11300,Manual,13550,Petrol,145,65.7,1
 Fiesta,2019,12798,Manual,8000,Diesel,150,88.3,1.5
 EcoSport,2019,16998,Automatic,1088,Petrol,145,45.6,1
 EcoSport,2019,18999,Automatic,20,Petrol,150,45.6,1
 Fiesta,2017,8999,Manual,12052,Petrol,150,54.3,1.2
 Fiesta,2015,5999,Manual,41886,Petrol,30,54.3,1.2
 Fiesta,2019,13998,Automatic,5674,Petrol,150,48.7,1
 Fiesta,2014,6299,Manual,28543,Petrol,30,54.3,1.2
 Fiesta,2018,10200,Manual,30737,Petrol,145,65.7,1
 Fiesta,2019,13200,Manual,18331,Petrol,145,60.1,1
 Fiesta,2013,7200,Manual,39315,Diesel,0,78.5,1.6
 Fiesta,2016,8800,Manual,30612,Petrol,0,65.7,1
 Focus,2013,6999,Manual,29624,Diesel,20,67.3,1.6
 Fiesta,2018,9700,Manual,30284,Petrol,145,64.2,1.1
 Fiesta,2017,11300,Manual,14577,Petrol,145,65.7,1
 Fiesta,2019,12000,Manual,14620,Petrol,145,60.1,1
 Fiesta,2018,10100,Manual,38902,Petrol,145,56.5,1
 Fiesta,2018,10800,Manual,29783,Petrol,145,56.5,1
 EcoSport,2017,10500,Manual,11518,Petrol,145,52.3,1
 Focus,2015,9400,Manual,48153,Diesel,0,74.3,1.5
 Focus,2015,9500,Manual,33496,Diesel,0,74.3,1.5
 Fiesta,2016,8299,Manual,16060,Diesel,0,78.5,1.5
 Focus,2013,6499,Manual,41048,Petrol,20,58.9,1
 EcoSport,2017,9299,Manual,18518,Petrol,160,44.8,1.5
 EcoSport,2019,16998,Manual,2121,Petrol,145,51.4,1
 Fiesta,2018,12799,Manual,21718,Petrol,145,62.8,1
 Fiesta,2012,6499,Manual,25797,Petrol,145,48.7,1.6
 Focus,2019,16998,Manual,5568,Petrol,145,60.1,1
 Focus,2019,14998,Manual,6564,Petrol,145,58.9,1
 Fiesta,2019,13998,Manual,7126,Petrol,145,62.8,1
 Fiesta,2019,12498,Manual,12831,Petrol,145,65.7,1
 Focus,2014,7299,Manual,45310,Petrol,20,60.1,1
 Fiesta,2016,7499,Manual,4189,Petrol,125,54.3,1.2
 Focus,2018,10999,Manual,20254,Petrol,145,60.1,1
 Fiesta,2018,14999,Automatic,23624,Petrol,145,54.3,1
 Fiesta,2017,9699,Manual,9936,Petrol,145,65.7,1
 Focus,2017,9299,Manual,39904,Petrol,20,61.4,1
 EcoSport,2019,17299,Automatic,861,Petrol,145,45.6,1
 Fiesta,2019,14999,Automatic,1519,Petrol,150,48.7,1
 Fiesta,2015,8999,Manual,9181,Petrol,0,65.7,1
 Focus,2015,8499,Manual,46301,Diesel,0,74.3,1.5
 Fiesta,2019,12999,Manual,9921,Petrol,145,58.9,1
 Fiesta,2019,14799,Manual,442,Petrol,150,56.5,1
 EcoSport,2019,13799,Manual,7463,Petrol,145,53.3,1
 Focus,2018,12399,Manual,18227,Diesel,145,80.7,1.5
 Fiesta,2017,7999,Manual,26213,Diesel,0,78.5,1.5
 EcoSport,2018,11699,Manual,18678,Petrol,145,54.3,1
 EcoSport,2018,13799,Automatic,1715,Petrol,145,45.6,1
 Focus,2019,15999,Manual,5153,Petrol,145,60.1,1
 Fiesta,2019,11999,Manual,3409,Petrol,145,55.4,1.1
 Fiesta,2019,15699,Manual,6195,Petrol,145,60.1,1
 EcoSport,2019,16399,Automatic,935,Petrol,145,45.6,1
 Fiesta,2017,8199,Manual,30510,Petrol,150,54.3,1.2
 EcoSport,2019,17799,Manual,1524,Petrol,150,51.4,1
 Fiesta,2017,8300,Manual,23255,Petrol,0,65.7,1
 Focus,2017,11250,Manual,6746,Petrol,20,60.1,1
 EcoSport,2016,7999,Manual,12410,Petrol,125,52.3,1
 Fiesta,2018,13100,Manual,11581,Petrol,145,55.4,1
 Fiesta,2017,9700,Manual,12955,Petrol,0,65.7,1
 Fiesta,2014,7400,Manual,15589,Petrol,30,54.3,1.2
 Focus,2017,10400,Manual,25400,Diesel,0,74.3,1.5
 Focus,2017,10800,Automatic,22965,Petrol,125,51.4,1
 Fiesta,2016,8200,Manual,31272,Petrol,0,65.7,1
 Focus,2017,11000,Manual,27878,Diesel,0,74.3,1.5
 Fiesta,2015,6995,Manual,34645,Petrol,125,54.3,1.2
 Focus,2016,10495,Manual,8311,Diesel,0,74.3,1.5
 EcoSport,2015,9495,Manual,6600,Petrol,160,44.8,1.5
 Fiesta,2013,6495,Manual,48704,Petrol,0,65.7,1
 Fiesta,2018,11495,Manual,15344,Petrol,145,65.7,1
 Fiesta,2016,8300,Manual,38043,Petrol,0,65.7,1
 Fiesta,2017,8500,Manual,22637,Petrol,0,65.7,1
 Fiesta,2015,10300,Manual,36500,Petrol,150,47.9,1.6
 Fiesta,2019,10700,Manual,10000,Petrol,150,55.4,1.1
 Focus,2015,8500,Manual,41904,Petrol,20,60.1,1
 Focus,2017,11000,Manual,14621,Diesel,0,74.3,1.5
 Focus,2015,8350,Manual,46935,Petrol,20,60.1,1
 Focus,2017,16500,Manual,19709,Petrol,145,41.5,2
 Focus,2015,7700,Manual,54803,Petrol,20,60.1,1
 Fiesta,2018,12500,Manual,12500,Petrol,145,49.6,1
 Focus,2017,10500,Manual,30933,Petrol,145,60.1,1
 Focus,2015,8300,Manual,18381,Petrol,20,60.1,1
 Focus,2017,9650,Manual,23300,Petrol,20,60.1,1
