price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize
4940,39932,Manual, Fiesta,2013,Petrol,30,54.3,1.2
6870,67901,Manual, Fiesta,2016,Petrol,125,54.3,1.2
9640,28088,Manual, Fiesta,2015,Petrol,145,47.9,1.6
8940,48687,Manual, Focus,2016,Diesel,0,74.3,1.5
7996,44000,Manual, Focus,2015,Petrol,20,60.1,1
9699,23183,Manual, Focus,2017,Petrol,145,60.1,1
12495,20693,Automatic, Focus,2017,Petrol,145,46.3,1.5
11999,5612,Manual, Fiesta,2018,Petrol,145,65.7,1
9999,9813,Manual, Fiesta,2018,Petrol,145,64.2,1.1
7000,43016,Manual, Focus,2014,Diesel,20,67.3,1.6
7989,75929,Manual, Fiesta,2016,Diesel,0,78.5,1.5
5949,52135,Manual, Fiesta,2013,Diesel,0,85.6,1.6
6940,75386,Manual, Fiesta,2016,Diesel,0,78.5,1.5
9999,13614,Manual, Fiesta,2018,Petrol,145,64.2,1.1
9299,2398,Manual, Fiesta,2018,Petrol,145,64.2,1.1
15999,16582,Manual, Focus,2018,Petrol,145,41.5,2
8499,31530,Manual, EcoSport,2016,Petrol,125,53.3,1
10999,15555,Manual, Focus,2017,Petrol,145,58.9,1
10999,10374,Manual, Focus,2018,Petrol,145,61.4,1
8940,29192,Automatic, Focus,2014,Petrol,160,44.8,1.6
6840,69000,Manual, Focus,2014,Diesel,20,67.3,1.6
5750,78000,Manual, Focus,2015,Diesel,20,67.3,1.6
8845,29194,Manual, Fiesta,2015,Petrol,0,65.7,1
6995,51438,Manual, Fiesta,2014,Petrol,0,65.7,1
8497,52821,Manual, Focus,2016,Diesel,0,74.3,1.5
8470,89827,Manual, Focus,2016,Diesel,0,74.3,1.5
9640,16697,Manual, Fiesta,2017,Diesel,0,78.5,1.5
7340,30000,Manual, Fiesta,2014,Petrol,0,65.7,1
6940,32000,Manual, Fiesta,2014,Petrol,0,65.7,1
5749,69000,Manual, Focus,2013,Petrol,30,56.5,1
11333,30452,Automatic, Focus,2017,Petrol,125,51.4,1
8795,27705,Manual, Fiesta,2016,Petrol,0,65.7,1
3995,76517,Manual, Fiesta,2008,Diesel,150,47.9,1.6
8288,14653,Manual, Fiesta,2015,Petrol,0,65.7,1
11997,10230,Manual, Fiesta,2018,Petrol,145,58.9,1
8697,33866,Manual, EcoSport,2017,Petrol,125,52.3,1
10497,28247,Manual, Fiesta,2018,Petrol,145,62.8,1
9797,25286,Manual, Focus,2016,Diesel,0,74.3,1.5
6988,53987,Manual, Fiesta,2014,Petrol,0,65.7,1
8688,17543,Manual, EcoSport,2016,Petrol,160,44.8,1.5
10990,37287,Manual, Focus,2017,Diesel,150,74.3,1.5
11970,37349,Manual, Focus,2018,Diesel,150,74.3,1.5
15970,404,Automatic, Focus,2019,Petrol,145,47.9,1.5
9797,24138,Manual, Fiesta,2017,Petrol,145,62.8,1
11797,12255,Manual, Focus,2017,Petrol,20,60.1,1
7793,100000,Manual, Focus,2016,Diesel,20,70.6,2
9495,50460,Manual, Fiesta,2015,Petrol,150,47.9,1.6
18490,19398,Automatic, Focus,2018,Diesel,150,61.4,2
10899,55865,Manual, Focus,2013,Petrol,235,39.2,2
3249,92737,Manual, Fiesta,2011,Diesel,20,68.9,1.4
6949,41076,Manual, Fiesta,2014,Petrol,0,65.7,1
7393,102000,Manual, Fiesta,2017,Petrol,150,65.7,1
7793,106000,Manual, Focus,2016,Diesel,20,70.6,2
1295,108475,Manual, Fiesta,2007,Petrol,160,45.6,1.4
1495,118000,Manual, Fiesta,2008,Diesel,30,62.8,1.4
15900,5603,Automatic, EcoSport,2018,Petrol,145,48.7,1
6450,54486,Manual, Fiesta,2014,Petrol,0,65.7,1
15500,3914,Manual, Focus,2019,Petrol,145,60.1,1
4899,77543,Manual, Focus,2011,Diesel,20,67.3,1.6
11990,12950,Manual, Fiesta,2019,Diesel,150,58.9,1.5
12539,14952,Automatic, Focus,2018,Petrol,145,51.4,1
10069,17613,Manual, Fiesta,2017,Petrol,145,62.8,1
9739,23500,Manual, Fiesta,2017,Petrol,20,62.8,1
12089,28568,Manual, Focus,2018,Diesel,145,74.3,1.5
10399,13475,Manual, Fiesta,2016,Diesel,0,78.5,1.5
8240,25388,Manual, Fiesta,2016,Diesel,0,78.5,1.5
10795,16300,Manual, Focus,2016,Petrol,20,60.1,1
5492,114000,Manual, Focus,2015,Diesel,0,74.3,1.5
7548,17079,Manual, Fiesta,2016,Petrol,125,54.3,1.2
7299,31876,Manual, Fiesta,2014,Petrol,0,65.7,1
7499,58592,Manual, Fiesta,2015,Diesel,0,78.5,1.5
11799,26570,Manual, Fiesta,2017,Petrol,145,47.9,1.6
15999,7873,Manual, Focus,2018,Diesel,145,80.7,1.5
8999,65920,Manual, Focus,2016,Diesel,0,74.3,1.5
8649,45379,Manual, Fiesta,2014,Petrol,145,47.9,1.6
11599,22436,Automatic, Focus,2017,Petrol,145,51.4,1
18999,4146,Automatic, Focus,2019,Petrol,145,47.9,1.5
9499,62664,Manual, Focus,2016,Diesel,0,74.3,1.5
9999,29469,Manual, Fiesta,2015,Petrol,145,47.9,1.6
13084,40807,Manual, Focus,2015,Petrol,200,41.5,2
4852,61350,Manual, Fiesta,2012,Diesel,0,68.9,1.6
9907,19519,Manual, Fiesta,2016,Petrol,0,65.7,1
7935,45018,Manual, Fiesta,2016,Petrol,0,65.7,1
11913,18639,Manual, Fiesta,2018,Petrol,145,62.8,1
6913,41148,Manual, Fiesta,2013,Petrol,0,65.7,1
13815,48628,Manual, Focus,2016,Diesel,20,67.3,2
10999,16613,Manual, Fiesta,2017,Petrol,145,62.8,1
12787,39772,Manual, Focus,2015,Diesel,20,67.3,2
8699,7973,Manual, Fiesta,2016,Petrol,0,65.7,1
7147,32780,Manual, Fiesta,2016,Petrol,0,65.7,1
6934,42020,Manual, Fiesta,2014,Petrol,0,65.7,1
9999,14063,Manual, Fiesta,2016,Petrol,0,65.7,1
6540,27550,Manual, Fiesta,2013,Petrol,30,54.3,1.2
8244,19453,Manual, Fiesta,2016,Diesel,0,78.5,1.5
9545,33190,Automatic, Focus,2016,Diesel,20,67.3,1.5
22499,21000,Manual, Focus,2016,Petrol,235,36.7,2.3
17098,22431,Manual, Focus,2017,Diesel,145,67.3,2
9491,30380,Manual, Focus,2016,Diesel,0,74.3,1.5
8199,33196,Manual, EcoSport,2016,Petrol,160,44.8,1.5
5899,46314,Manual, Fiesta,2014,Petrol,30,54.3,1.2
7132,29639,Manual, Fiesta,2014,Petrol,30,54.3,1.2
10449,17468,Manual, Fiesta,2017,Diesel,0,78.5,1.5
12499,52492,Manual, Focus,2017,Petrol,145,50.4,1.5
9299,18328,Manual, Fiesta,2016,Diesel,0,88.3,1.5
8105,32268,Manual, Fiesta,2016,Petrol,0,65.7,1
7763,29435,Manual, Fiesta,2017,Petrol,145,54.3,1.2
11318,40402,Manual, Focus,2014,Petrol,235,39.2,2
6790,60918,Manual, Fiesta,2014,Petrol,0,65.7,1
19000,5310,Automatic, Focus,2019,Petrol,145,46.3,1.5
9995,22607,Manual, Fiesta,2016,Petrol,0,65.7,1
9293,33872,Manual, Fiesta,2014,Petrol,150,47.9,1.6
4431,41485,Manual, Fiesta,2012,Diesel,0,76.4,1.6
10999,31620,Manual, Fiesta,2018,Diesel,145,58.9,1.5
13449,15250,Manual, Focus,2018,Petrol,145,57.7,1
18199,13000,Manual, Focus,2017,Petrol,145,41.5,2
11999,26973,Manual, Focus,2017,Petrol,145,57.7,1
18700,3095,Automatic, Focus,2019,Diesel,145,64.2,2
7825,22502,Manual, Fiesta,2016,Petrol,0,65.7,1
15510,1786,Manual, Focus,2019,Petrol,145,58.9,1
12012,20621,Manual, Focus,2017,Petrol,145,57.7,1
9893,39888,Manual, EcoSport,2017,Petrol,125,52.3,1
14652,20059,Manual, Fiesta,2019,Petrol,145,40.3,1.5
7511,46243,Manual, Fiesta,2015,Diesel,0,78.5,1.5
17999,3521,Automatic, Focus,2019,Diesel,145,64.2,2
7891,15543,Manual, Fiesta,2016,Petrol,125,54.3,1.2
8344,19648,Manual, Fiesta,2016,Petrol,0,65.7,1
9610,50332,Manual, Focus,2015,Petrol,125,51.4,1.5
7731,26822,Manual, Fiesta,2014,Petrol,0,65.7,1
10295,23742,Manual, Focus,2015,Diesel,0,74.3,1.5
10999,30295,Manual, Fiesta,2018,Petrol,145,65.7,1
12295,23016,Manual, Focus,2017,Petrol,145,51.4,1.5
10999,13671,Manual, Focus,2017,Petrol,145,60.1,1
12120,16853,Manual, Focus,2017,Petrol,145,57.7,1
12499,17330,Manual, Focus,2018,Diesel,145,74.3,1.5
7899,60482,Manual, Focus,2015,Diesel,0,74.3,1.5
11999,20310,Manual, Focus,2017,Diesel,145,74.3,1.5
15749,19664,Manual, Focus,2016,Petrol,200,41.5,2
17699,3252,Automatic, Focus,2019,Diesel,145,64.2,2
16399,6937,Manual, Fiesta,2019,Petrol,145,40.3,1.5
9360,25438,Manual, Fiesta,2017,Petrol,0,65.7,1
11500,2481,Manual, Focus,2017,Petrol,145,60.1,1
12204,22688,Manual, Focus,2018,Petrol,145,57.7,1
11389,36608,Manual, Focus,2017,Diesel,145,74.3,1.5
9499,31309,Manual, Focus,2016,Petrol,20,60.1,1
19500,1520,Automatic, Focus,2019,Diesel,145,64.2,2
9995,34040,Manual, Focus,2017,Diesel,0,74.3,1.5
5448,66471,Manual, Fiesta,2013,Petrol,30,54.3,1.2
9499,17378,Manual, Fiesta,2017,Petrol,145,65.7,1
8299,60002,Manual, Fiesta,2014,Petrol,145,47.9,1.6
8899,49470,Manual, Focus,2016,Diesel,0,74.3,1.5
11127,22292,Manual, Fiesta,2016,Petrol,145,47.9,1.6
13799,14082,Manual, Focus,2018,Petrol,145,57.7,1
10185,53717,Automatic, Focus,2016,Diesel,30,64.2,2
16051,11035,Manual, Focus,2017,Petrol,145,41.5,2
10210,21018,Manual, Focus,2016,Diesel,0,74.3,1.5
5299,69000,Manual, Focus,2012,Petrol,145,47.9,1.6
5499,59000,Manual, Focus,2012,Petrol,145,47.9,1.6
3899,126000,Manual, Focus,2012,Diesel,125,56.5,2
7699,34263,Manual, Fiesta,2015,Diesel,0,88.3,1.5
11128,25595,Manual, Fiesta,2017,Petrol,145,47.9,1.6
10799,30555,Manual, Fiesta,2018,Diesel,145,58.9,1.5
8825,21297,Manual, Fiesta,2016,Petrol,20,62.8,1
7175,40003,Manual, Fiesta,2016,Petrol,20,62.8,1
6800,22421,Manual, Fiesta,2016,Diesel,0,78.5,1.5
18498,5532,Manual, Focus,2019,Petrol,145,48.7,1
6499,71500,Manual, Focus,2015,Petrol,20,61.4,1
17999,95,Automatic, Focus,2019,Petrol,145,48.7,1
13999,16908,Manual, EcoSport,2018,Petrol,150,54.3,1
10499,25000,Manual, Fiesta,2017,Petrol,150,65.7,1
15999,15000,Manual, Focus,2019,Petrol,145,60.1,1
16799,4660,Manual, Focus,2019,Petrol,145,60.1,1
6999,34772,Manual, Fiesta,2015,Petrol,125,54.3,1.2
10999,8146,Manual, Fiesta,2017,Petrol,145,65.7,1
15999,8340,Manual, Focus,2019,Petrol,145,60.1,1
14999,6177,Manual, Focus,2019,Petrol,145,58.9,1
16998,4152,Manual, Focus,2019,Petrol,145,60.1,1
14499,10050,Manual, Focus,2019,Petrol,145,60.1,1
14998,10464,Manual, Focus,2019,Petrol,145,58.9,1
11999,20007,Automatic, Fiesta,2017,Petrol,0,57.7,1
28998,2985,Manual, Focus,2020,Petrol,145,34.5,2.3
9999,18916,Manual, Fiesta,2017,Petrol,145,65.7,1
10499,31803,Manual, Fiesta,2017,Petrol,145,65.7,1
7999,30900,Manual, Fiesta,2016,Petrol,0,65.7,1
13399,9829,Manual, Fiesta,2019,Diesel,150,58.9,1.5
9699,17330,Manual, Fiesta,2016,Petrol,0,65.7,1
17499,5700,Automatic, Focus,2019,Diesel,145,50.4,1.5
18200,804,Manual, Focus,2019,Petrol,145,48.7,1
10414,23998,Manual, Fiesta,2016,Petrol,20,62.8,1
12999,17303,Automatic, Focus,2017,Petrol,125,51.4,1
18681,17515,Manual, Focus,2018,Petrol,145,41.5,2
13249,8727,Automatic, Focus,2017,Petrol,125,51.4,1
12999,15608,Manual, EcoSport,2018,Petrol,150,54.3,1
8999,29127,Manual, Fiesta,2017,Petrol,150,65.7,1
9999,12000,Manual, Fiesta,2018,Petrol,150,64.2,1.1
6999,62000,Automatic, Fiesta,2013,Petrol,0,57.7,1
5999,61686,Manual, Fiesta,2014,Petrol,0,65.7,1
8499,12412,Manual, Fiesta,2017,Petrol,145,65.7,1
9999,13759,Manual, EcoSport,2017,Petrol,145,52.3,1
10999,34844,Manual, Fiesta,2017,Petrol,145,47.9,1.6
9933,16186,Automatic, Focus,2015,Petrol,165,44.8,1.6
3999,127544,Manual, Focus,2011,Petrol,150,47.9,1.6
8444,42787,Manual, Fiesta,2017,Petrol,150,65.7,1
11211,22766,Manual, Focus,2017,Petrol,20,60.1,1
10483,25000,Manual, Focus,2017,Diesel,150,74.3,1.5
10999,45709,Automatic, Focus,2017,Petrol,150,46.3,1.5
17999,12014,Manual, Focus,2019,Petrol,150,60.1,1
5999,18233,Manual, Fiesta,2011,Petrol,200,42.8,1.2
7999,28907,Manual, Fiesta,2017,Petrol,125,54.3,1.2
13583,21718,Manual, Focus,2015,Diesel,20,67.3,2
11499,21023,Manual, Focus,2018,Petrol,145,60.1,1
15999,999,Automatic, EcoSport,2019,Petrol,145,45.6,1
4699,39620,Manual, Fiesta,2012,Petrol,125,50.4,1.2
16999,10678,Manual, EcoSport,2019,Petrol,150,52.3,1
14299,2698,Manual, Fiesta,2019,Petrol,150,58.9,1
16499,3205,Automatic, EcoSport,2019,Petrol,145,45.6,1
9299,20966,Automatic, Fiesta,2015,Petrol,0,57.7,1
17499,15,Manual, EcoSport,2020,Petrol,150,53.3,1
14299,4216,Manual, Fiesta,2019,Petrol,150,58.9,1
14499,9033,Manual, Fiesta,2019,Petrol,150,55.4,1
20499,3572,Manual, Focus,2019,Diesel,145,70.6,2
5299,78767,Manual, Focus,2014,Petrol,150,47.9,1.6
9499,30825,Manual, Focus,2017,Petrol,150,61.4,1
16498,5826,Manual, Focus,2019,Petrol,145,60.1,1
17499,8140,Manual, Focus,2019,Petrol,150,60.1,1
10999,42632,Manual, Focus,2017,Diesel,150,74.3,1.5
7999,51976,Manual, Focus,2016,Petrol,20,61.4,1
15999,8706,Manual, Focus,2019,Diesel,150,80.7,1.5
3699,60466,Manual, Focus,2010,Diesel,160,51.4,2
7599,31141,Manual, EcoSport,2015,Petrol,125,52.3,1
6395,89770,Manual, Focus,2015,Diesel,20,67.3,1.6
9495,29000,Manual, EcoSport,2017,Diesel,150,44.8,1.5
11299,23624,Manual, Focus,2017,Diesel,0,74.3,1.5
14999,9772,Manual, Fiesta,2019,Petrol,145,58.9,1
10499,26759,Automatic, EcoSport,2016,Petrol,160,44.8,1.5
14499,9023,Manual, Fiesta,2019,Petrol,145,60.1,1
11999,26898,Manual, Focus,2018,Petrol,145,57.7,1
9999,17453,Manual, EcoSport,2017,Petrol,125,53.3,1
8999,33460,Manual, Focus,2017,Petrol,20,60.1,1
9999,19249,Automatic, Fiesta,2017,Petrol,145,47.9,1.6
15499,3765,Manual, Fiesta,2019,Petrol,145,55.4,1
14299,9804,Manual, Fiesta,2018,Petrol,145,65.7,1
9299,16218,Manual, Fiesta,2016,Diesel,0,88.3,1.5
14499,4266,Manual, Fiesta,2019,Petrol,145,58.9,1
10499,13625,Manual, Fiesta,2017,Petrol,0,65.7,1
4699,67226,Manual, Focus,2012,Petrol,30,56.5,1
15124,17354,Manual, Focus,2019,Diesel,145,74.3,1.5
12495,18894,Manual, Fiesta,2018,Petrol,145,62.8,1
8995,13759,Manual, Fiesta,2017,Petrol,145,54.3,1.2
23999,5834,Manual, Focus,2019,Diesel,145,50.4,2
10999,11264,Manual, Fiesta,2016,Petrol,20,62.8,1
17998,10222,Manual, Focus,2019,Diesel,145,74.3,1.5
18699,4267,Automatic, Focus,2019,Petrol,145,51.4,1
16499,4340,Automatic, EcoSport,2019,Petrol,145,45.6,1
14999,13994,Manual, EcoSport,2019,Petrol,145,53.3,1
10299,8161,Manual, Fiesta,2015,Petrol,0,65.7,1
6500,43181,Manual, Fiesta,2013,Petrol,0,65.7,1
8500,37695,Manual, Focus,2016,Diesel,0,74.3,1.5
5799,45787,Manual, Fiesta,2013,Petrol,30,54.3,1.2
8299,45500,Manual, Fiesta,2015,Diesel,0,78.5,1.5
10000,19498,Manual, Focus,2015,Diesel,0,74.3,1.5
8000,63958,Manual, Fiesta,2014,Petrol,145,47.9,1.6
6495,41896,Manual, Fiesta,2015,Petrol,125,54.3,1.2
7995,26220,Automatic, Fiesta,2015,Petrol,0,57.7,1
8211,46282,Manual, Focus,2017,Petrol,20,61.4,1
8999,9467,Manual, Fiesta,2015,Petrol,0,65.7,1
10587,50526,Manual, Focus,2017,Diesel,0,74.3,1.5
5999,42012,Manual, Fiesta,2014,Petrol,0,65.7,1
4499,72279,Manual, Focus,2012,Petrol,145,47.9,1.6
14598,10555,Manual, Fiesta,2019,Petrol,145,55.4,1
15999,8910,Automatic, Fiesta,2019,Petrol,145,48.7,1
13499,30555,Manual, Focus,2015,Diesel,20,67.3,2
8399,65929,Manual, Fiesta,2014,Petrol,145,47.9,1.6
8749,56109,Manual, Fiesta,2015,Petrol,145,47.9,1.6
14199,13883,Manual, Focus,2018,Petrol,145,58.9,1
6561,39381,Manual, Fiesta,2014,Petrol,0,65.7,1
9078,16813,Automatic, Fiesta,2017,Petrol,0,57.7,1
4490,52762,Manual, Fiesta,2012,Petrol,150,48.7,1.4
6490,64384,Manual, Fiesta,2016,Diesel,0,78.5,1.5
12495,8629,Automatic, Fiesta,2017,Petrol,145,54.3,1
10600,29358,Manual, Fiesta,2017,Petrol,0,65.7,1
15699,9004,Manual, Focus,2019,Petrol,145,60.1,1
15999,4857,Manual, Focus,2019,Petrol,145,60.1,1
17999,2000,Manual, EcoSport,2019,Petrol,145,51.4,1
9599,23319,Manual, EcoSport,2017,Diesel,30,64.2,1.5
8000,66210,Manual, Fiesta,2017,Diesel,145,88.3,1.5
6000,49450,Manual, Fiesta,2015,Diesel,0,76.4,1.5
7000,76890,Manual, Focus,2015,Diesel,0,74.3,1.5
4500,97930,Manual, Focus,2013,Petrol,145,47.9,1.6
9600,16505,Manual, EcoSport,2016,Petrol,125,53.3,1
14800,35712,Manual, Focus,2014,Petrol,235,39.2,2
10999,13660,Automatic, Fiesta,2017,Petrol,145,47.9,1.6
8999,18086,Manual, Focus,2016,Petrol,20,60.1,1
16300,15825,Manual, Focus,2019,Petrol,150,60.1,1
7695,32290,Manual, Fiesta,2016,Petrol,0,65.7,1
6000,31124,Manual, Fiesta,2014,Petrol,30,54.3,1.2
10299,17852,Manual, Fiesta,2017,Petrol,145,62.8,1
6299,90378,Manual, Focus,2016,Diesel,0,74.3,1.5
5500,67375,Manual, Fiesta,2015,Diesel,0,78.5,1.5
5299,64231,Manual, Fiesta,2013,Petrol,0,65.7,1
8700,42026,Manual, EcoSport,2016,Petrol,125,53.3,1
15500,14766,Manual, EcoSport,2018,Diesel,150,64.2,1.5
11768,15375,Manual, Focus,2017,Petrol,145,57.7,1
11799,28333,Manual, Focus,2017,Petrol,145,60.1,1
16499,32253,Manual, Focus,2017,Diesel,145,67.3,2
7999,15107,Manual, Fiesta,2015,Petrol,0,65.7,1
13000,10834,Manual, Focus,2018,Petrol,145,57.7,1
7500,29845,Manual, Fiesta,2013,Petrol,0,65.7,1
8200,20387,Manual, Fiesta,2016,Petrol,0,65.7,1
7500,31994,Manual, Fiesta,2015,Diesel,0,76.4,1.5
11300,13550,Manual, Fiesta,2017,Petrol,145,65.7,1
12798,8000,Manual, Fiesta,2019,Diesel,150,88.3,1.5
16998,1088,Automatic, EcoSport,2019,Petrol,145,45.6,1
18999,20,Automatic, EcoSport,2019,Petrol,150,45.6,1
8999,12052,Manual, Fiesta,2017,Petrol,150,54.3,1.2
5999,41886,Manual, Fiesta,2015,Petrol,30,54.3,1.2
13998,5674,Automatic, Fiesta,2019,Petrol,150,48.7,1
6299,28543,Manual, Fiesta,2014,Petrol,30,54.3,1.2
10200,30737,Manual, Fiesta,2018,Petrol,145,65.7,1
13200,18331,Manual, Fiesta,2019,Petrol,145,60.1,1
7200,39315,Manual, Fiesta,2013,Diesel,0,78.5,1.6
8800,30612,Manual, Fiesta,2016,Petrol,0,65.7,1
6999,29624,Manual, Focus,2013,Diesel,20,67.3,1.6
9700,30284,Manual, Fiesta,2018,Petrol,145,64.2,1.1
11300,14577,Manual, Fiesta,2017,Petrol,145,65.7,1
12000,14620,Manual, Fiesta,2019,Petrol,145,60.1,1
10100,38902,Manual, Fiesta,2018,Petrol,145,56.5,1
10800,29783,Manual, Fiesta,2018,Petrol,145,56.5,1
10500,11518,Manual, EcoSport,2017,Petrol,145,52.3,1
9400,48153,Manual, Focus,2015,Diesel,0,74.3,1.5
9500,33496,Manual, Focus,2015,Diesel,0,74.3,1.5
8299,16060,Manual, Fiesta,2016,Diesel,0,78.5,1.5
6499,41048,Manual, Focus,2013,Petrol,20,58.9,1
9299,18518,Manual, EcoSport,2017,Petrol,160,44.8,1.5
16998,2121,Manual, EcoSport,2019,Petrol,145,51.4,1
12799,21718,Manual, Fiesta,2018,Petrol,145,62.8,1
6499,25797,Manual, Fiesta,2012,Petrol,145,48.7,1.6
16998,5568,Manual, Focus,2019,Petrol,145,60.1,1
14998,6564,Manual, Focus,2019,Petrol,145,58.9,1
13998,7126,Manual, Fiesta,2019,Petrol,145,62.8,1
12498,12831,Manual, Fiesta,2019,Petrol,145,65.7,1
7299,45310,Manual, Focus,2014,Petrol,20,60.1,1
7499,4189,Manual, Fiesta,2016,Petrol,125,54.3,1.2
10999,20254,Manual, Focus,2018,Petrol,145,60.1,1
14999,23624,Automatic, Fiesta,2018,Petrol,145,54.3,1
9699,9936,Manual, Fiesta,2017,Petrol,145,65.7,1
9299,39904,Manual, Focus,2017,Petrol,20,61.4,1
17299,861,Automatic, EcoSport,2019,Petrol,145,45.6,1
14999,1519,Automatic, Fiesta,2019,Petrol,150,48.7,1
8999,9181,Manual, Fiesta,2015,Petrol,0,65.7,1
8499,46301,Manual, Focus,2015,Diesel,0,74.3,1.5
12999,9921,Manual, Fiesta,2019,Petrol,145,58.9,1
14799,442,Manual, Fiesta,2019,Petrol,150,56.5,1
13799,7463,Manual, EcoSport,2019,Petrol,145,53.3,1
12399,18227,Manual, Focus,2018,Diesel,145,80.7,1.5
7999,26213,Manual, Fiesta,2017,Diesel,0,78.5,1.5
11699,18678,Manual, EcoSport,2018,Petrol,145,54.3,1
13799,1715,Automatic, EcoSport,2018,Petrol,145,45.6,1
15999,5153,Manual, Focus,2019,Petrol,145,60.1,1
11999,3409,Manual, Fiesta,2019,Petrol,145,55.4,1.1
15699,6195,Manual, Fiesta,2019,Petrol,145,60.1,1
16399,935,Automatic, EcoSport,2019,Petrol,145,45.6,1
8199,30510,Manual, Fiesta,2017,Petrol,150,54.3,1.2
17799,1524,Manual, EcoSport,2019,Petrol,150,51.4,1
8300,23255,Manual, Fiesta,2017,Petrol,0,65.7,1
11250,6746,Manual, Focus,2017,Petrol,20,60.1,1
7999,12410,Manual, EcoSport,2016,Petrol,125,52.3,1
13100,11581,Manual, Fiesta,2018,Petrol,145,55.4,1
9700,12955,Manual, Fiesta,2017,Petrol,0,65.7,1
7400,15589,Manual, Fiesta,2014,Petrol,30,54.3,1.2
10400,25400,Manual, Focus,2017,Diesel,0,74.3,1.5
10800,22965,Automatic, Focus,2017,Petrol,125,51.4,1
8200,31272,Manual, Fiesta,2016,Petrol,0,65.7,1
11000,27878,Manual, Focus,2017,Diesel,0,74.3,1.5
6995,34645,Manual, Fiesta,2015,Petrol,125,54.3,1.2
10495,8311,Manual, Focus,2016,Diesel,0,74.3,1.5
9495,6600,Manual, EcoSport,2015,Petrol,160,44.8,1.5
6495,48704,Manual, Fiesta,2013,Petrol,0,65.7,1
11495,15344,Manual, Fiesta,2018,Petrol,145,65.7,1
8300,38043,Manual, Fiesta,2016,Petrol,0,65.7,1
8500,22637,Manual, Fiesta,2017,Petrol,0,65.7,1
10300,36500,Manual, Fiesta,2015,Petrol,150,47.9,1.6
10700,10000,Manual, Fiesta,2019,Petrol,150,55.4,1.1
8500,41904,Manual, Focus,2015,Petrol,20,60.1,1
11000,14621,Manual, Focus,2017,Diesel,0,74.3,1.5
8350,46935,Manual, Focus,2015,Petrol,20,60.1,1
16500,19709,Manual, Focus,2017,Petrol,145,41.5,2
7700,54803,Manual, Focus,2015,Petrol,20,60.1,1
12500,12500,Manual, Fiesta,2018,Petrol,145,49.6,1
10500,30933,Manual, Focus,2017,Petrol,145,60.1,1
8300,18381,Manual, Focus,2015,Petrol,20,60.1,1
9650,23300,Manual, Focus,2017,Petrol,20,60.1,1
11500,34468,Automatic, Focus,2017,Diesel,0,67.3,1.5
12300,11173,Manual, Fiesta,2018,Petrol,150,56.5,1
11100,42500,Automatic, Focus,2017,Diesel,145,67.3,1.5
10900,7342,Manual, Fiesta,2019,Petrol,145,55.4,1.1
9000,22311,Automatic, Fiesta,2014,Petrol,0,57.7,1
7600,17838,Manual, Fiesta,2016,Petrol,125,54.3,1.2
10200,29550,Manual, Fiesta,2016,Petrol,145,47.9,1.6
12600,12663,Manual, Fiesta,2019,Petrol,145,58.9,1
12199,17954,Manual, Focus,2017,Diesel,150,74.3,1.5
16799,433,Automatic, EcoSport,2019,Petrol,150,45.6,1
17399,246,Automatic, EcoSport,2019,Petrol,150,45.6,1
11999,12485,Manual, Focus,2017,Petrol,150,60.1,1
8500,23676,Manual, Fiesta,2016,Petrol,20,62.8,1
